# %ECSV 0.9
# ---
# datatype:
# -
#   name: id
#   datatype: string
# -
#   name: morph
#   datatype: string
# -
#   name: sigma_e
#   datatype: float32
# -
#   name: mdyn
#   datatype: float32
# -
#   name: col5
#   datatype: float32
# -
#   name: col6
#   datatype: float32
# -
#   name: col7_1
#   datatype: float32
# -
#   name: col8
#   datatype: float32
# -
#   name: col9_1
#   datatype: float32
# -
#   name: col10
#   datatype: float32
# -
#   name: col11_1
#   datatype: float32
# -
#   name: mangaid
#   datatype: string
# -
#   name: mstar_cat
#   datatype: string
# -
#   name: sfr_cat
#   datatype: string
# -
#   name: metallicity
#   datatype: string
# -
#   name: b/a
#   datatype: string
# -
#   name: met_re
#   datatype: string
# -
#   name: col7_2
#   datatype: string
# -
#   name: mstar_sum_re
#   datatype: string
# -
#   name: col9_2
#   datatype: string
# -
#   name: sfr_sum_re
#   datatype: string
# -
#   name: col11_2
#   datatype: string
# -
#   name: col12
#   datatype: string
# -
#   name: col13
#   datatype: string
# -
#   name: col14
#   datatype: string
# -
#   name: col15
#   datatype: string
# -
#   name: col16
#   datatype: string
# -
#   name: col17
#   datatype: string
# -
#   name: col18
#   datatype: string
# meta:
#   Description: 
#   |
#    #########################################################################################################################################
#     This is the online data table for the paper Li et. al (2018)
#     "SDSS-IV MaNGA: Global stellar population and gradients for about 2000 early-type and spiral galaxies on the mass-size plane"
#    
#     Table title: Properties of all the galaxies in the sample of Li et al. (2018)
#    #########################################################################################################################################
#      MaNGA ID  | Morphology | logsigma_e | logM_{1/2} | logR_e | logAge |  [Z/H]  | logM^*/L | Delta logAge | Delta [Z/H] | Delta logM^*/L |
#                |            |    km/s    |    M_sun   |   kpc  |  years |         |          |              |             |
#         (1)    |     (2)    |    (3)     |     (4)    |   (5)  |   (6)  |   (7)   |    (8)   |     (9)      |     (10)    |       (11)     |
#    #########################################################################################################################################
#   Match type: 'Pair match; Best match, symmetric'
#   Match algorithm: Exact Value
#   Join Type: 1 and 2 (An output row for each row represented in both input tables (INNER JOIN))
#   First input table: '6: Table-data.dat'
#   Second input table: '5: full_manga.dat'
id morph sigma_e mdyn col5 col6 col7_1 col8 col9_1 col10 col11_1 mangaid mstar_cat sfr_cat metallicity b/a met_re col7_2 mstar_sum_re col9_2 sfr_sum_re col11_2 col12 col13 col14 col15 col16 col17 col18
12-84617 S 1.7 9.52 0.36 9.16 -1.11 0.07 -0.05 0.11 -0.07 12-84617 9.312276840209961 -0.8719990849494934 8.548301832584293 0.205749 8.539083200847907 9.075677236215201 8.692032699364933 -0.24689856584744424 -1.3634178289490437 0.11304769587830012 -0.21233250966682643 8.757217852615733 8.373573315765466 nan 8.524224224224223 8.625194549560547 9.709091186523438
12-84677 E 2.17 11.08 1.0 9.64 0.1 0.56 -0.23 -0.08 -0.19 12-84677 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 10.98282786826388 10.797721112123545 -9999.0 -9999.0 -9999.0 -9999.0 10.861119817513677 10.676013061373341 -9999.0 -9999.0 -9999.0 -9999.0
12-84627 S 2.04 10.97 1.12 9.31 -0.51 0.41 -0.39 -0.44 -0.29 12-84627 10.725253105163574 0.4831777811050415 8.645241401401401 0.335333 8.742019642019644 10.621425329188675 10.432895463164034 0.19699286716450964 0.05078251357596977 1.428825232930858 1.0759568466101497 10.179897492812646 9.991367626788007 8.793293293293292 8.790390390390389 9.086206436157227 9.864222526550293
12-84679 E 2.44 11.7 1.13 9.83 0.06 0.66 -0.34 -0.11 -0.29 12-84679 11.105212211608887 -1.5618083477020264 8.187187187187186 0.508217 nan 10.657122203333373 10.636173472814185 -0.921146132181609 -inf -1.380252053555928 -inf 10.42552274638634 10.404574015867153 nan nan 9.773200988769531 9.893916130065918
12-110746 E 2.0 9.94 0.17 9.76 -0.02 0.57 -0.0 -0.18 -0.05 12-110746 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 9.27684161189117 9.142290322995276 -9999.0 -9999.0 -9999.0 -9999.0 9.115809645262503 8.98125835636661 -9999.0 -9999.0 -9999.0 -9999.0
12-192149 S 1.72 9.92 0.63 9.3 -0.72 0.38 -0.15 -0.11 -0.06 12-192149 9.899139404296875 -0.22956226766109467 8.70337003670337 0.335333 8.730481424821047 9.790347231881432 9.617968901716957 -1.184363943842657 -0.5205889287526869 0.6842269900210685 0.5091842848293407 9.220938229854495 9.048559899690021 8.75125125125125 8.750083416750083 9.04392147064209 9.90920352935791
12-129608 E 1.68 9.61 0.4 9.76 -0.33 0.5 0.11 -0.19 0.04 12-129608 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 9.725446743085158 9.42437253767337 -9999.0 -9999.0 -9999.0 -9999.0 9.23151997230078 8.930445766888994 -9999.0 -9999.0 -9999.0 -9999.0
12-129612 S 2.04 10.85 1.04 9.43 -0.3 0.47 -0.41 -0.27 -0.19 12-129612 10.589077949523926 0.24320365488529205 8.669893794209147 0.335333 8.749709709709709 10.585538050237346 10.475301968895911 -1.8443687615794124 -0.6241777044043305 0.9544703721597402 0.38951413280419545 9.862766660431932 9.752530579090497 nan nan 9.241823196411133 9.911175727844238
12-129618 S 2.04 10.81 0.97 9.49 -0.31 0.49 -0.54 -0.42 -0.18 12-129618 10.719759941101074 0.31624412536621094 8.773264476124588 0.205749 8.796749516047761 10.66440273024667 10.506819976733823 -1.0740154919678453 -0.06257748768839085 1.2455272186687896 1.0216690061921738 10.425078478256001 10.267495724743155 nan nan 9.322474479675293 9.900057792663574
12-129446 S 2.04 10.83 0.93 9.42 -0.3 0.43 -0.24 -0.7 -0.08 12-129446 10.953583717346191 0.7651021480560303 8.787846065243325 0.205749 8.790487319899084 10.894585100263079 10.749596344621596 -0.317785306176032 0.39015136817711615 1.6466853821770036 1.4054783783897908 10.805438863038782 10.660450107397299 nan 8.731281281281282 9.22634506225586 9.879926681518555
